"phase","institution","filename","status","bytes","url","retrieved","error"
"3","BCIT","2024_BCIT_BCIT-STARS-Report-Silver.url","LINK-SAVED","0","https://reports.aashe.org/institutions/british-columbia-institute-of-technology-bc/report/2024-08-20/","2026-08-18T14:14:52",""
"3","BCIT","nd_BCIT_Zero-Energy-Emissions-Buildings-Learning-Centre-ZEBLC.url","LINK-SAVED","0","https://www.bcit.ca/zero-energy-building/","2026-08-18T14:14:52",""
"3","BCIT","nd_BCIT_BCIT-ZEB-microcredential-catalogue.url","LINK-SAVED","0","https://www.bcit.ca/zero-energy-building/programs/","2026-08-18T14:14:52",""
"3","BCIT","nd_BCIT_BCIT-Electric-Vehicles-program-area.url","LINK-SAVED","0","https://www.bcit.ca/transportation/areas-of-study/automotive/electric-vehicles/","2026-08-18T14:14:52",""
"3","VIU","2022_VIU_VIU-Position-Statement-on-Climate-Action-and-Sustainability.url","LINK-SAVED","0","https://news.viu.ca/vancouver-island-universitys-position-statement-climate-action-and-sustainability","2026-08-18T14:14:52",""
"3","VIU","nd_VIU_VIU-Sustainability-Initiatives.url","LINK-SAVED","0","https://adm.viu.ca/sustainability/viu-sustainability-initiatives","2026-08-18T14:14:52",""
"3","Sector / CICan","2025_CICan_Green-Training-Modules-for-Trades-Educators-CICan-ImpAct-Climate.url","LINK-SAVED","0","https://www.collegesinstitutes.ca/news-release/green-training-modules-for-trades-educators-to-support-sustainable-housing-construction/","2026-08-18T14:14:52",""
"3","Sector / CICan","nd_CICan_CICan-ImpAct-Climate-program.url","LINK-SAVED","0","https://www.collegesinstitutes.ca/news-release/green-training-modules-for-trades-educators-to-support-sustainable-housing-construction/","2026-08-18T14:14:52",""
"3","College of the Rockies","2021_CofR_Electric-Vehicle-Maintenance-Technology-certificate.url","LINK-SAVED","0","https://cotr.bc.ca/programs/electric-vehicle-training/","2026-08-18T14:14:52",""
"3","College of the Rockies","2022_CofR_College-of-the-Rockies-Sustainability-SDG-Progress-Reports.url","LINK-SAVED","0","https://cotr.bc.ca/about-us/sustainability/","2026-08-18T14:14:52",""
"3","Douglas College","2022_Douglas_Douglas-College-STARS-Report-Silver-46.21.url","LINK-SAVED","0","https://reports.aashe.org/institutions/douglas-college-bc/report/2022-08-23/","2026-08-18T14:14:52",""
"3","Douglas College","nd_Douglas_Climate-Action-and-Environmental-Sustainability-page.url","LINK-SAVED","0","https://www.douglascollege.ca/about-douglas/college-initiatives/climate-action-and-environmental-sustainability","2026-08-18T14:14:52",""
"3","Langara College","2021_Langara_Langara-STARS-Report-Silver-51.63.url","LINK-SAVED","0","https://reports.aashe.org/institutions/langara-college-bc/report/2021-06-24/","2026-08-18T14:14:52",""
"3","Langara College","2026_Langara_Langara-Planning-and-Reporting-+-2025-CCAR.url","LINK-SAVED","0","https://langara.ca/media/16679/download?inline","2026-08-18T14:14:52",""
"3","KPU","nd_KPU_KPU-Electric-Vehicle-Maintenance-Training.url","LINK-SAVED","0","https://www.kpu.ca/trades/auto/electric-vehicle-maintenance-training","2026-08-18T14:14:52",""
"3","KPU","nd_KPU_KPU-Sustainable-Food-Systems-and-Security-programs.url","LINK-SAVED","0","https://www.kpu.ca/arts/sustainable-food-systems-security","2026-08-18T14:14:52",""
"3","Royal Roads University","2022_RRU_Royal-Roads-Climate-Action-Plan-2022-2027.url","LINK-SAVED","0","https://www.royalroads.ca/ClimateActionPlan","2026-08-18T14:14:52",""
"3","UNBC","2026_UNBC_UNBC-AASHE-STARS-Reports-Gold-68.83.url","LINK-SAVED","0","https://www.unbc.ca/sustainability/aashe-stars-reports","2026-08-18T14:14:52",""
"3","UNBC","2011_UNBC_UNBC-Bioenergy-Plant-Canada's-Green-University.url","LINK-SAVED","0","https://www.unbc.ca/sustainability/bioenergy-plant-image-gallery","2026-08-18T14:14:52",""
"3","Northern Lights College","2025_NLC_Centre-for-Applied-Energy-and-Environmental-Sustainability-CAEES.url","LINK-SAVED","0","https://www.nlc.bc.ca/college-news/northern-lights-college-launches-centre-for-applied-energy-and-environmental-sustainability-to-drive-energy-innovation-in-northeast-bc/","2026-08-18T14:14:52",""
"3","North Island College","2025_NIC_NIC-Comox-campus-solar-installation.url","LINK-SAVED","0","https://smallplanetenergy.ca/north-island-college-solar-installation-complete/","2026-08-18T14:14:52",""
"3","North Island College","nd_NIC_NIC-SPARK-initiative-unverified.url","LINK-SAVED","0","https://www.linkedin.com/","2026-08-18T14:14:52",""
"3","Coast Mountain College","nd_CMC_Applied-Coastal-Ecology-Environmental-Geoscience-diplomas.url","LINK-SAVED","0","https://www.coastmountaincollege.ca/programs/study/science/coast-mountain-ecology","2026-08-18T14:14:52",""
"3","College of New Caledonia","nd_CNC_CNC-Strategic-Plan-#CNCNext50.url","LINK-SAVED","0","https://cnc.bc.ca/docs/default-source/about/initiatives-reports/strategic-plan/strategic-plan","2026-08-18T14:14:52",""
"3","BC Government / Sector","nd_BCGov_Carbon-Neutral-Government-program-overview.url","LINK-SAVED","0","https://www2.gov.bc.ca/gov/content/environment/climate-change/public-sector/carbon-neutral","2026-08-18T14:14:52",""
"3","BC Government / Sector","nd_BCGov_AASHE-Rated-Institutions-directory.url","LINK-SAVED","0","https://reports.aashe.org/institutions/rated/","2026-08-18T14:14:52",""
"4","VCC","2025_VCC_Climate-Change-Accountability-Report-2025.pdf","OK","2408566","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/vancouver_community_college_2025_ccar.pdf","2026-08-18T14:14:57",""
"4","VCC","2014_VCC_Environmental-Sustainability-Strategy-2014-2017.pdf","OK","3175131","https://www.vcc.ca/media/vancouver-community-college/content-assets/documents/news-events/Enviro_Strat_Plan_14-17_FINAL.pdf","2026-08-18T14:15:02",""
"4","VCC","2025_VCC_Centre-for-Clean-Energy-and-Automotive-Innovation.url","LINK-SAVED","0","https://www.vcc.ca/about/college-information/news/article/new-centre-for-clean-energy-and-automotive-innovation-coming-to-great-northern-w.html","2026-08-18T14:15:02",""
"4","VCC","2023_VCC_CCEAI-Province-of-BC-announcement.url","LINK-SAVED","0","https://news.gov.bc.ca/releases/2023PREM0044-001195","2026-08-18T14:15:02",""
"4","VCC","2025_VCC_Clean-Energy-Technology-Diploma-and-Wind-Turbine-Technician.url","LINK-SAVED","0","https://educationnewscanada.com/article/education/level/colleges/2/1167635/how-vcc-is-evolving-to-meet-future-clean-energy-labour-market-demands.html","2026-08-18T14:15:02",""
"4","VCC","2025_VCC_Top-5-Sustainability-Initiatives.url","LINK-SAVED","0","https://www.vcc.ca/about/college-information/news/article/vccs-top-5-sustainability-initiatives.html","2026-08-18T14:15:02",""
"4","Capilano University","2025_CapU_Climate-Change-Accountability-Report-2025.pdf","OK","1102815","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/capilano_university_2025_ccar.pdf","2026-08-18T14:15:04",""
"4","Capilano University","2024_CapU_Illuminating-2030-Academic-Plan-Summary.pdf","OK","873008","https://www.capilanou.ca/media/capilanouca/about-capu/governance/presidentx27s-office/reports-amp-initiatives/illuminating-2030/Illuminating-2030-Summary-Document.pdf","2026-08-18T14:15:06",""
"4","Capilano University","2024_CapU_STARS-Report-Silver-55.02.url","LINK-SAVED","0","https://reports.aashe.org/institutions/capilano-university-bc/report/2024-07-02/","2026-08-18T14:15:06",""
"4","Capilano University","2025_CapU_Sustainability-Goals-Are-We-On-Track-progress-review.url","LINK-SAVED","0","https://www.capilanocourier.com/2025/03/01/capus-sustainability-goals-are-we-on-track/","2026-08-18T14:15:06",""
"4","Capilano University","2023_CapU_Squamish-MOU-13-Collaboration-Areas.url","LINK-SAVED","0","https://www.squamishreporter.com/2023/10/20/13-things-capilano-university-and-squamish-plan-to-work-on/","2026-08-18T14:15:06",""
"4","Capilano University","nd_CapU_Envisioning-2030-strategic-plan.url","LINK-SAVED","0","https://www.capilanou.ca/about-capu/governance/presidents-office/strategic-initiatives/envisioning-2030/","2026-08-18T14:15:06",""
"4","Emily Carr University","2025_ECU_Climate-Change-Accountability-Report-2025.pdf","OK","400284","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/emily_carr_2025_ccar.pdf","2026-08-18T14:15:07",""
"4","Emily Carr University","nd_ECU_Sustainability-and-Climate-Action-Plan-townhall-draft.url","LINK-SAVED","0","https://www.ecuad.ca/events/sustainability-climate-action-plan-community-townhall","2026-08-18T14:15:07",""
"4","Emily Carr University","2021_ECU_Climate-Action-at-ECU-update.url","LINK-SAVED","0","https://www.ecuad.ca/updates/climate-action-at-ecu","2026-08-18T14:15:07",""
"4","JIBC","2025_JIBC_Climate-Change-Accountability-Report-2025.pdf","OK","1212572","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/justice_institue_of_bc_2025_ccar.pdf","2026-08-18T14:15:09",""
"4","JIBC","2025_JIBC_STARS-Report-Bronze-32.33.url","LINK-SAVED","0","https://reports.aashe.org/institutions/justice-institute-of-british-columbia-bc/report/","2026-08-18T14:15:09",""
"4","JIBC","nd_JIBC_Emergency-and-Disaster-Management-programs.url","LINK-SAVED","0","https://www.jibc.ca/areas-of-study/emergency-management","2026-08-18T14:15:09",""
"4","NVIT","2025_NVIT_Climate-Change-Accountability-Report-2025.pdf","OK","354385","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/nicola_valley_institute_of_technology_2025_ccar.pdf","2026-08-18T14:15:10",""
"4","NVIT","2018_NVIT_Centre-of-Excellence-in-Sustainability-building.url","LINK-SAVED","0","https://meiklejohn.ca/projects/education/nvit-centre-of-excellence-in-sustainability/","2026-08-18T14:15:10",""
"4","NVIT","2026_NVIT_Indigenous-Leading-Practices-Community-Based-Assessment.url","LINK-SAVED","0","https://www2.gov.bc.ca/gov/content/education-training/post-secondary-education/aboriginal-education-training/indigenous-leading-practices/case-study-nvit","2026-08-18T14:15:10",""
